"callsign","lat","lon","addr2"
"VA7AFB","48.406000","-123.517700","VICTORIA"
"VA7AFC","49.175500","-122.935500","DELTA"
"VA7AFL","56.250700","-120.849400","FORT ST. JOHN"
"VA7AFN","49.229800","-122.609700","MAPLE RIDGE"
"VA7AFS","49.107800","-122.865100","SURREY"
"VA7AG","54.342000","-130.265800","PRINCE RUPERT"
"VA7AGA","49.324000","-123.083800","NORTH VANCOUVER"
"VA7AGL","49.274300","-122.758200","PORT COQUITLAM"
"VA7AGO","49.680500","-124.979200","COURTENAY"
"VA7AGW","51.613100","-120.115900","CLEARWATER"
"VA7AGY","49.197400","-122.489800","MAPLE RIDGE"
"VA7AH","49.230900","-122.998090","BURNABY"
"VA7AHB","49.218200","-123.041100","VANCOUVER"
"VA7AHR","50.699800","-119.282790","SALMON ARM"
"VA7AHT","50.584300","-127.095900","PORT MCNEILL"
"VA7AI","48.463200","-123.366200","VICTORIA"
"VA7AIR","50.708100","-120.381300","KAMLOOPS"
"VA7AJ","49.341200","-123.201400","WEST VANCOUVER"
"VA7AJA","48.783300","-123.699700","DUNCAN"
"VA7AJB","55.343000","-123.104000","MACKENZIE"
"VA7AJG","49.269100","-122.686100","PITT MEADOWS"
"VA7AJH","49.183000","-123.974990","NANAIMO"
"VA7AJJ","49.133600","-123.114300",""
"VA7AJL","50.684200","-121.938500","LILLOOET"
"VA7AJM","49.315700","-122.744690",""
"VA7AJR","49.256100","-122.856200","COQUITLAM"
"VA7AJS","49.107800","-122.865100","SURREY"
"VA7AJW","49.884900","-119.414900","KELOWNA"
"VA7AJZ","49.245800","-122.773400","PORT COQUITLAM"
"VA7AK","49.322900","-124.324600","NANOOSE BAY"
"VA7AKA","49.197400","-122.489800","MAPLE RIDGE"
"VA7AKH","53.253800","-132.082100","QUEEN CHARLOTTE"
"VA7AKK","49.248600","-123.120200","VANCOUVER"
"VA7AL","49.054800","-122.321600","ABBOTSFORD"
"VA7ALA","49.248600","-123.120200","VANCOUVER"
"VA7ALB","49.900500","-119.481200","KELOWNA"
"VA7ALE","49.263200","-123.239200","VANCOUVER"
"VA7ALF","49.349700","-122.975500","NORTH VANCOUVER"
"VA7ALJ","49.341200","-123.201400","WEST VANCOUVER"
"VA7ALK","49.157692","-123.189790","RICHMOND"
"VA7ALL","49.006400","-123.693290","Courtenay"
"VA7ALM","49.239400","-122.853200","COQUITLAM"
"VA7ALN","49.881600","-119.478700","Sooke"
"VA7ALR","53.876900","-122.803600","PRINCE GEORGE"
"VA7ALS","49.349700","-122.975500","NORTH VANCOUVER"
"VA7ALT","49.885100","-119.489200","KELOWNA"
"VA7ALU","48.463200","-123.366200","VICTORIA"
"VA7ALX","49.349700","-122.975500","NORTH VANCOUVER"
"VA7ALY","49.349700","-122.975500","NORTH VANCOUVER"
"VA7AM","49.333957","-123.163617","WEST VANCOUVER"
"VA7AMA","49.259100","-122.559200","MAPLE RIDGE"
"VA7AMB","49.229800","-122.609700","MAPLE RIDGE"
"VA7AMD","49.267200","-123.200400","VANCOUVER"
"VA7AMG","49.341200","-123.201400","WEST VANCOUVER"
"VA7AMH","49.275500","-123.128300","VANCOUVER"
"VA7AMI","50.699800","-119.282790","SALMON ARM"
"VA7AMR","50.258300","-119.266700","VERNON"
"VA7AMV","48.499263","-123.382028","Victoria"
"VA7AMZ","49.274300","-122.758200","PORT COQUITLAM"
"VA7AN","49.684400","-124.930300","COMOX"
"VA7ANA","48.446500","-123.510400",""
"VA7AND","56.250700","-120.849400","QUALICUM BEACH"
"VA7ANG","49.243900","-123.040400","VANCOUVER"
"VA7ANK","49.142900","-122.865500","SURREY"
"VA7ANM","48.556900","-123.382800","VICTORIA"
"VA7ANP","49.248600","-123.120200","VANCOUVER"
"VA7ANT","49.149400","-122.906700","DELTA"
"VA7AO","49.275500","-123.128300","VANCOUVER"
"VA7AOH","49.058400","-122.492200","ALDERGROVE"
"VA7AOK","53.876900","-122.803600","PRINCE GEORGE"
"VA7AP","54.049700","-128.550700","KITIMAT"
"VA7APC","49.209600","-122.997800","BURNABY"
"VA7APD","49.235900","-123.149000","VANCOUVER"
"VA7APR","50.258300","-119.266700","VERNON"
"VA7AQ","49.170800","-122.732900","SURREY"
"VA7AR","49.160200","-123.114000","RICHMOND"
"VA7ARC","49.231500","-122.929190","BURNABY"
"VA7ARG","49.268000","-123.168000","VANCOUVER"
"VA7ARK","49.081700","-122.369400","ABBOTSFORD"
"VA7ARL","49.263200","-123.239200","VANCOUVER"
"VA7ARN","49.988900","-125.236800","CAMPBELL RIVER"
"VA7ARR","49.263200","-123.239200","VANCOUVER"
"VA7ARS","49.233400","-124.799800","PORT ALBERNI"
"VA7ART","48.783300","-123.699700","DUNCAN"
"VA7ARV","49.251600","-123.168400","VANCOUVER"
"VA7ARW","54.018900","-124.001800","VANDERHOOF"
"VA7ARZ","48.446500","-123.510400","VICTORIA"
"VA7AS","48.652700","-123.427890","SIDNEY"
"VA7ASA","49.320500","-123.056700","NORTH VANCOUVER"
"VA7ASE","49.247100","-123.109100","VANCOUVER"
"VA7ASH","50.584300","-127.095900","PORT MCNEILL"
"VA7ASL","53.253800","-132.082100","QUEEN CHARLOTTE"
"VA7ASO","49.142900","-122.865500","SURREY"
"VA7ASP","49.248800","-123.000690","BURNABY"
"VA7ASR","49.233400","-124.799800","PORT ALBERNI"
"VA7ASS","49.839600","-119.444900",""
"VA7AT","49.225500","-123.068100","VANCOUVER"
"VA7ATA","49.145600","-123.176500","RICHMOND"
"VA7ATC","53.921300","-122.826300","PRINCE GEORGE"
"VA7ATH","49.320500","-123.056700","NORTH VANCOUVER"
"VA7ATL","49.103400","-122.654400","LANGLEY"
"VA7ATM","49.107800","-122.865100","SURREY"
"VA7ATR","49.239800","-124.064200","LANTZVILLE"
"VA7ATT","49.245800","-122.773400","PORT COQUITLAM"
"VA7ATV","50.052000","-119.403490","LAKE COUNTRY"
"VA7ATW","49.267500","-122.976290","BURNABY"
"VA7AU","49.229800","-122.609700","MAPLE RIDGE"
"VA7AUB","48.480300","-123.497400","VICTORIA"
"VA7AUG","49.186400","-123.113200","RICHMOND"
"VA7AUR","49.257900","-123.131200","VANCOUVER"
"VA7AUX","48.436100","-123.409700","VICTORIA"
"VA7AV","50.635200","-120.246100","KAMLOOPS"
"VA7AVB","48.414500","-123.361400","VICTORIA"
"VA7AVN","49.684400","-124.930300","COMOX"
"VA7AVR","49.233400","-124.799800","PORT ALBERNI"
"VA7AVS","49.233400","-124.799800","PORT ALBERNI"
"VA7AVW","49.021600","-119.468100","OSOYOOS"
"VA7AW","49.171700","-121.951200","CHILLIWACK"
"VA7AWA","49.259100","-122.559200","MAPLE RIDGE"
"VA7AWC","48.786200","-123.283900","MAYNE"
"VA7AWD","49.276800","-123.039100","VANCOUVER"
"VA7AWG","53.921300","-122.826300","PRINCE GEORGE"
"VA7AWJ","49.248800","-123.000690","BURNABY"
"VA7AWK","49.256100","-122.856200","BURNABY"
"VA7AWM","48.429769","-123.333612","VICTORIA"
"VA7AWV","53.876900","-122.803600","PRINCE GEORGE"
"VA7AX","49.322900","-124.324600","PARKSVILLE"
"VA7AXE","48.406000","-123.517700","VICTORIA"
"VA7AXL","49.325300","-122.950990","NORTH VANCOUVER"
"VA7AY","49.162000","-123.175500","RICHMOND"
"VA7AYA","49.133600","-123.114300","RICHMOND"
"VA7AYL","50.685600","-119.055600","MARA"
"VA7AYT","49.183100","-123.050100","RICHMOND"
"VA7AZ","49.272600","-123.007000","BURNABY"
"VA7AZN","49.247800","-123.090500","VANCOUVER"
"VA7AZZ","50.241050","-119.218500","COLDSTREAM"
"VA7BA","48.938398","-125.551473","UCLUELET"
"VA7BAB","49.835000","-119.615700","WESTBANK"
"VA7BAC","49.175700","-121.930100","Abbotsford"
"VA7BAD","50.699800","-119.282790","SALMON ARM"
"VA7BAL","49.243900","-123.040400","VANCOUVER"
"VA7BAR","49.188000","-122.846000","SURREY"
"VA7BAS","49.128800","-122.767000","RICHMOND"
"VA7BAW","48.786200","-123.283900","BOWEN ISLAND"
"VA7BB","49.884900","-119.414900","KELOWNA"
"VA7BBB","49.884900","-119.414900","KELOWNA"
"VA7BBC","49.251600","-123.168400","VANCOUVER"
"VA7BBL","49.243900","-123.040400","VANCOUVER"
"VA7BBP","49.229800","-122.609700","MAPLE RIDGE"
"VA7BBQ","49.219700","-124.001200","NANAIMO"
"VA7BBR","49.516800","-124.700000","HORNBY ISLAND"
"VA7BBW","50.217000","-126.548000","WOSS"
"VA7BC","49.327381","-123.156534","WEST VANCOUVER"
"VA7BCA","49.305900","-121.767900","VANCOUVER"
"VA7BCD","49.263200","-123.239200","VANCOUVER"
"VA7BCH","49.516800","-124.700000","BURNABY"
"VA7BCK","49.248600","-123.120200","VANCOUVER"
"VA7BCM","49.276200","-123.066700","VANCOUVER"
"VA7BCP","49.212500","-122.917590","NEW WESTMINSTER"
"VA7BCR","48.745776","-123.494224",""
"VA7BCT","49.128800","-122.767000","SURREY"
"VA7BCY","49.267500","-122.976290","BURNABY"
"VA7BD","49.128800","-122.767000","SURREY"
"VA7BDD","49.212500","-122.917590","NEW WESTMINSTER"
"VA7BDE","49.247800","-123.090500","VANCOUVER"
"VA7BDH","49.128800","-122.767000","SURREY"
"VA7BDP","51.613100","-120.115900","CLEARWATER"
"VA7BDW","49.022200","-122.800290","WHITE ROCK"
"VA7BE","49.098600","-116.510400","CRESTON"
"VA7BEA","49.228800","-121.790200","AGASSIZ"
"VA7BEB","49.051600","-122.276400","ABBOTSFORD"
"VA7BEC","49.023400","-123.061700","DELTA"
"VA7BED","54.516700","-128.608000","TERRACE"
"VA7BEE","49.157500","-123.050100","RICHMOND"
"VA7BEF","49.082900","-116.451300","CANYON"
"VA7BEK","49.213000","-123.096300",""
"VA7BEL","49.884900","-119.414900","KELOWNA"
"VA7BEN","49.680500","-124.979200","COURTENAY"
"VA7BEP","49.320500","-123.056700","NORTH VANCOUVER"
"VA7BER","49.346600","-123.099700","NORTH VANCOUVER"
"VA7BES","50.278933","-119.280327",""
"VA7BEV","49.390200","-121.440500","HOPE"
"VA7BF","49.213900","-123.134800","Port Alberni"
"VA7BFL","49.287800","-123.121390","VANCOUVER"
"VA7BFM","49.259100","-122.559200","MAPLE RIDGE"
"VA7BFO","49.239400","-122.853200","COQUITLAM"
"VA7BFR","49.885100","-119.489200",""
"VA7BFT","49.303400","-123.144800","VANCOUVER"
"VA7BG","49.038200","-122.827400","SURREY"
"VA7BGD","50.258300","-119.266700","VERNON"
"VA7BGH","49.256100","-122.856200","COQUITLAM"
"VA7BH","49.160200","-123.114000","RICHMOND"
"VA7BHC","53.916945","-122.593369","PRINCE GEORGE"
"VA7BHY","49.274300","-122.758200",""
"VA7BI","49.022200","-122.800290","WHITE ROCK"
"VA7BIG","54.229500","-125.758100","BURNS LAKE"
"VA7BIK","49.247300","-123.209900","VANCOUVER"
"VA7BIL","49.349700","-122.975500","NORTH VANCOUVER"
"VA7BIR","50.015600","-114.919500","ELKFORD"
"VA7BJ","49.231500","-122.929190","BURNABY"
"VA7BJB","49.274300","-122.758200","PORT COQUITLAM"
"VA7BJD","53.952200","-122.760900",""
"VA7BJL","48.993100","-123.821700","LADYSMITH"
"VA7BJM","50.500900","-119.550100","FALKLAND"
"VA7BJQ","48.652700","-123.427890","NORTH SAANICH"
"VA7BJW","48.418800","-123.327690","VICTORIA"
"VA7BK","49.170800","-122.732900","SURREY"
"VA7BKB","48.377500","-123.730700","SOOKE"
"VA7BKD","49.233400","-124.799800","PORT ALBERNI"
"VA7BKM","49.275500","-123.128300",""
"VA7BKY","49.296700","-122.845690","PORT MOODY"
"VA7BL","56.250700","-120.849400","FORT ST. JOHN"
"VA7BLB","50.258300","-119.266700","VERNON"
"VA7BLE","49.160200","-123.114000","RICHMOND"
"VA7BLI","49.272600","-123.007000","BURNABY"
"VA7BLK","49.133600","-123.114300","RICHMOND"
"VA7BLL","49.349400","-123.047400","NORTH VANCOUVER"
"VA7BLN","48.374338","-123.748049",""
"VA7BLT","49.276800","-123.039100","VANCOUVER"
"VA7BLU","53.921300","-122.826300","PRINCE GEORGE"
"VA7BLZ","49.024900","-123.083400","DELTA"
"VA7BMB","50.584300","-127.095900","PORT MCNEILL"
"VA7BMH","49.274300","-122.758200","PORT COQUITLAM"
"VA7BMK","48.595300","-123.540200","SHAWNIGAN LAKE"
"VA7BMM","49.320500","-123.056700","NORTH VANCOUVER"
"VA7BMN","48.442300","-123.321600","VICTORIA"
"VA7BMO","49.225500","-123.068100","VANCOUVER"
"VA7BMT","49.407800","-123.506600","GIBSONS"
"VA7BMV","49.149400","-122.906700","DELTA"
"VA7BMW","49.160200","-123.114000","RICHMOND"
"VA7BMX","55.283400","-129.050290","AIYANSH"
"VA7BN","49.098600","-116.510400","CRESTON"
"VA7BNC","48.436100","-123.409700","VICTORIA"
"VA7BND","52.982100","-122.502600","QUESNEL"
"VA7BNE","49.390200","-121.440500","HOPE"
"VA7BO","49.128800","-122.767000","SURREY"
"VA7BOB","49.341200","-123.201400","WEST VANCOUVER"
"VA7BOI","49.170800","-122.732900","SURREY"
"VA7BOO","48.406000","-123.517700","VICTORIA"
"VA7BOP","49.332800","-123.026300","NORTH VANCOUVER"
"VA7BOU","49.103400","-122.654400","LANGLEY"
"VA7BOY","49.228500","-123.185000","VANCOUVER"
"VA7BP","54.065595","-128.629332","KITIMAT"
"VA7BPA","49.230900","-122.998090","BURNABY"
"VA7BRB","50.258300","-119.266700","VERNON"
"VA7BRD","49.229800","-122.609700","MAPLE RIDGE"
"VA7BRG","49.274300","-122.758200","PORT COQUITLAM"
"VA7BRH","53.876900","-122.803600","PRINCE GEORGE"
"VA7BRI","50.709500","-127.415800","PORT HARDY"
"VA7BRJ","49.370600","-115.301800","Cranbrook"
"VA7BRK","48.406000","-123.517700","VICTORIA"
"VA7BRN","49.315700","-122.744690","COQUITLAM"
"VA7BRO","53.876900","-122.803600","PRINCE GEORGE"
"VA7BRS","49.315700","-122.744690","COQUITLAM"
"VA7BRT","49.245800","-122.773400","COQUITLAM"
"VA7BRU","53.916945","-122.760036","PRINCE GEORGE"
"VA7BRW","49.254100","-123.146190","VANCOUVER"
"VA7BRX","49.128800","-122.767000","SURREY"
"VA7BRY","49.268000","-123.168000","VANCOUVER"
"VA7BS","49.352300","-123.115900","NORTH VANCOUVER"
"VA7BSA","49.649700","-124.949290","ROYSTON"
"VA7BSC","49.133600","-123.114300","RICHMOND"
"VA7BSD","49.267200","-123.200400",""
"VA7BSF","49.212500","-122.917590","NEW WESTMINSTER"
"VA7BSI","49.269100","-122.686100","PITT MEADOWS"
"VA7BSL","50.258300","-119.266700","VERNON"
"VA7BSN","49.753200","-123.133500","GARIBALDI HIGHLANDS"
"VA7BST","49.145600","-123.176500","RICHMOND"
"VA7BT","49.407800","-123.506600","GIBSONS"
"VA7BTL","48.474000","-123.311800","VICTORIA"
"VA7BTY","50.052000","-119.403490","LAKE COUNTRY"
"VA7BU","48.463200","-123.366200","VICTORIA"
"VA7BUD","53.995100","-125.701500","SOUTHBANK"
"VA7BUG","49.128800","-122.767000","SURREY"
"VA7BUZ","50.820300","-119.680100","CHASE"
"VA7BW","49.022200","-122.800290","WHITE ROCK"
"VA7BWA","48.553667","-123.394103","VICTORIA"
"VA7BWK","49.218200","-123.041100","VANCOUVER"
"VA7BWL","49.219700","-124.001200","NANAIMO"
"VA7BWR","50.699800","-119.282790","SALMON ARM"
"VA7BWS","49.500600","-115.766700","CRANBROOK"
"VA7BX","49.038471","-122.313473","ABBOTSFORD"
"VA7BXN","49.175700","-121.930100","CHILLIWACK"
"VA7BZZ","49.349400","-123.047400","VANCOUVER"
"VA7CA","49.208685","-122.988220",""
"VA7CAA","48.587100","-123.432100","SAANICHTON"
"VA7CAB","49.267200","-123.200400","VANCOUVER"
"VA7CAC","50.785800","-119.334800","TAPPEN"
"VA7CAD","49.051600","-122.276400","ABBOTSFORD"
"VA7CAE","49.339909","-123.028260","NORTH VANCOUVER"
"VA7CAG","49.197400","-122.489800","MAPLE RIDGE"
"VA7CAI","49.315700","-122.744690","COQUITLAM"
"VA7CAL","48.436100","-123.409700","VICTORIA"
"VA7CAN","49.395000","-123.543333",""
"VA7CAO","50.408736","-115.884411","INVERMERE"
"VA7CAR","49.209000","-119.817700","KEREMEOS"
"VA7CAS","49.247800","-123.090500","VANCOUVER"
"VA7CAT","50.708100","-120.381300","KAMLOOPS"
"VA7CAW","50.708100","-120.381300","KAMLOOPS"
"VA7CB","49.885100","-119.489200","KELOWNA"
"VA7CBC","49.325300","-122.950990","BURNABY"
"VA7CBR","49.349400","-123.047400","NORTH VANCOUVER"
"VA7CBY","49.341200","-123.201400","WEST VANCOUVER"
"VA7CC","53.876900","-122.803600","PRINCE GEORGE"
"VA7CCC","49.183100","-123.050100","RICHMOND"
"VA7CCF","49.276900","-123.089100","VANCOUVER"
"VA7CCG","48.595300","-123.540200","SHAWNIGAN LAKE"
"VA7CCH","49.218200","-123.041100","VANCOUVER"
"VA7CCK","49.058800","-122.767000","SURREY"
"VA7CCN","49.257900","-123.131200","VANCOUVER"
"VA7CCS","48.890800","-123.539800","SALT SPRING ISLAND"
"VA7CCU","49.230900","-122.998090","BURNABY"
"VA7CCY","49.235900","-123.149000","VANCOUVER"
"VA7CD","49.496900","-119.598690","PENTICTON"
"VA7CDA","49.128800","-122.767000","SURREY"
"VA7CDK","49.277300","-123.113200","VANCOUVER"
"VA7CDM","49.149400","-122.906700","DELTA"
"VA7CDN","49.341200","-123.201400","GIBSONS"
"VA7CDS","50.258300","-119.266700","VERNON"
"VA7CDY","49.457600","-117.524300","SOUTH SLOCAN"
"VA7CDZ","49.239400","-122.853200","COQUITLAM"
"VA7CEB","53.876900","-122.803600","PRINCE GEORGE"
"VA7CEM","49.188000","-122.846000","SURREY"
"VA7CEN","49.355500","-123.187290","WEST VANCOUVER"
"VA7CEQ","49.477400","-124.825400","FANNY BAY"
"VA7CES","49.170800","-122.732900","SURREY"
"VA7CEX","50.901200","-119.377000","BLIND BAY"
"VA7CF","49.103400","-122.654400","LANGLEY"
"VA7CFM","49.355500","-123.187290","WEST VANCOUVER"
"VA7CFO","49.024900","-123.083400","DELTA"
"VA7CFR","54.032900","-132.149700","MASSET"
"VA7CG","49.250596","-122.900081","BURNABY"
"VA7CGB","49.245800","-122.773400","PORT COQUITLAM"
"VA7CGF","49.245800","-122.773400","PORT COQUITLAM"
"VA7CGH","49.230900","-122.998090","BURNABY"
"VA7CGL","49.267200","-123.200400","VANCOUVER"
"VA7CH","49.213900","-123.134800","VANCOUVER"
"VA7CHB","49.038200","-122.827400","SURREY"
"VA7CHD","49.209000","-119.817700","KEREMEOS"
"VA7CHE","49.160200","-123.114000","RICHMOND"
"VA7CHI","49.276200","-123.066700","VANCOUVER"
"VA7CHL","49.315700","-122.744690","COQUITLAM"
"VA7CHO","49.320500","-123.056700","NORTH VANCOUVER"
"VA7CHR","49.098600","-116.510400","100 MILE HOUSE"
"VA7CHT","49.213900","-123.134800","VANCOUVER"
"VA7CHU","49.355500","-123.187290","WEST VANCOUVER"
"VA7CHW","49.267500","-122.976290","BURNABY"
"VA7CHZ","49.325300","-122.950990","NORTH VANCOUVER"
"VA7CIA","49.346600","-123.099700","NORTH VANCOUVER"
"VA7CIC","49.885100","-119.489200","KELOWNA"
"VA7CID","49.186400","-123.113200","RICHMOND"
"VA7CIJ","49.103400","-122.654400","LANGLEY"
"VA7CIN","53.995100","-125.701500","SOUTHBANK"
"VA7CJ","49.229600","-122.891400","NEW WESTMINSTER"
"VA7CJK","49.484300","-117.296400","NELSON"
"VA7CJM","49.267200","-123.200400","VANCOUVER"
"VA7CJN","48.463200","-123.366200","VICTORIA"
"VA7CJR","49.225500","-123.068100","VANCOUVER"
"VA7CJS","49.276900","-123.089100","VANCOUVER"
"VA7CJT","49.230900","-122.998090","BURNABY"
"VA7CJW","49.078600","-123.073500","DELTA"
"VA7CK","48.453800","-123.337400","VICTORIA"
"VA7CKK","49.252500","-123.065290","VANCOUVER"
"VA7CKM","48.414500","-123.361400","VICTORIA"
"VA7CKS","49.778700","-119.741000","PEACHLAND"
"VA7CKY","49.160200","-123.114000","RICHMOND"
"VA7CLA","49.142900","-122.865500","SURREY"
"VA7CLC","49.260500","-123.060190","VANCOUVER"
"VA7CLH","49.267500","-122.976290","BURNABY"
"VA7CLJ","49.272600","-123.007000",""
"VA7CLK","49.848500","-125.133300","BLACK CREEK"
"VA7CLL","49.186400","-123.113200","RICHMOND"
"VA7CLM","49.599000","-119.690200","SUMMERLAND"
"VA7CLR","54.018900","-124.001800","VANDERHOOF"
"VA7CLT","48.783300","-123.699700","DUNCAN"
"VA7CM","49.103400","-122.654400","LANGLEY"
"VA7CMC","49.260500","-123.060190","VANCOUVER"
"VA7CMG","49.209600","-122.997800","BURNABY"
"VA7CML","49.170800","-122.732900","SURREY"
"VA7CMP","49.276900","-123.089100","VANCOUVER"
"VA7CMR","49.229800","-122.609700","MAPLE RIDGE"
"VA7CMS","48.652700","-123.427890","SIDNEY"
"VA7CMT","49.230900","-122.998090","BURNABY"
"VA7CMV","49.256100","-122.856200","COQUITLAM"
"VA7CMW","52.833700","-119.249300","VALEMOUNT"
"VA7CN","49.330800","-123.141400","WEST VANCOUVER"
"VA7CND","49.024900","-123.083400","Victoria"
"VA7CNG","49.355500","-123.187290","WEST VANCOUVER"
"VA7CNT","49.149400","-122.906700","DELTA"
"VA7CNY","49.267500","-122.929590","BURNABY"
"VA7CO","48.783300","-123.699700","DUNCAN"
"VA7COG","48.890800","-123.539800","SALT SPRING ISLAND"
"VA7COL","49.684400","-124.930300","COMOX"
"VA7COM","49.516800","-124.700000","BURNABY"
"VA7COP","50.258300","-119.266700","VERNON"
"VA7COR","49.051600","-122.276400","ABBOTSFORD"
"VA7COT","48.783300","-123.699700","DUNCAN"
"VA7COW","49.274300","-122.758200","PORT COQUITLAM"
"VA7COX","49.170800","-122.732900","SURREY"
"VA7CP","49.230900","-122.998090","BURNABY"
"VA7CPC","49.143762","-123.135624","RICHMOND"
"VA7CPD","49.252500","-123.065290","VANCOUVER"
"VA7CPK","49.218200","-123.041100","VANCOUVER"
"VA7CPM","49.145600","-123.176500","RICHMOND"
"VA7CPO","48.488300","-123.410790","VICTORIA"
"VA7CPQ","49.285000","-123.132600","VANCOUVER"
"VA7CPR","49.496900","-119.598690","PENTICTON"
"VA7CQ","49.295576","-123.140516",""
"VA7CR","53.876900","-122.803600","PRINCE GEORGE"
"VA7CRB","54.779100","-127.178200","SMITHERS"
"VA7CRC","49.175700","-121.930100","SARDIS"
"VA7CRD","48.377500","-123.730700","VICTORIA"
"VA7CRH","49.033889","-122.836850","SURREY"
"VA7CRM","56.015700","-121.900300","HUDSON'S HOPE"
"VA7CRP","49.250554","-122.900059","BURNABY"
"VA7CRS","49.231500","-122.929190","BURNABY"
"VA7CRT","48.540000","-123.562500","MALAHAT"
"VA7CRV","49.263200","-123.239200","VANCOUVER"
"VA7CRW","49.407800","-123.506600","GIBSONS"
"VA7CS","53.921300","-122.826300","PRINCE GEORGE"
"VA7CSC","49.213000","-123.096300","VANCOUVER"
"VA7CSD","49.320500","-123.056700","NORTH VANCOUVER"
"VA7CSL","49.355500","-123.187290","WEST VANCOUVER"
"VA7CSP","49.231500","-122.929190","BURNABY"
"VA7CSZ","49.352300","-123.115900","West Vancouver"
"VA7CT","49.243900","-123.040400","VANCOUVER"
"VA7CTR","49.680500","-124.979200","COURTENAY"
"VA7CTX","49.276900","-123.089100","VANCOUVER"
"VA7CTY","49.200836","-123.111151","VANCOUVER"
"VA7CU","49.235900","-123.149000","VANCOUVER"
"VA7CUA","53.952200","-122.760900","PRINCE GEORGE"
"VA7CUI","49.229000","-122.951890","BURNABY"
"VA7CVS","49.218200","-123.041100","VANCOUVER"
"VA7CW","49.078600","-123.073500","DELTA"
"VA7CWC","48.446500","-123.510400","VICTORIA"
"VA7CWD","49.133543","-122.845602","Surrey"
"VA7CWH","49.267500","-122.976290","BURNABY"
"VA7CWJ","48.453800","-123.337400","VICTORIA"
"VA7CWK","49.218200","-123.041100","VANCOUVER"
"VA7CWU","49.054800","-122.321600","ABBOTSFORD"
"VA7CX","49.219700","-124.001200","NANAIMO"
"VA7CY","49.277300","-123.113200","VANCOUVER"
"VA7CYC","49.272600","-123.007000",""
"VA7CYN","53.909000","-122.766400","PRINCE GEORGE"
"VA7CYP","49.186400","-123.113200","RICHMOND"
